Country,Source,Sector,Gas,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
AFG,Climate Watch,Energy,All GHG,4.09348,2.30967,1.73942,1.74308,1.70958,1.60337,1.57387,1.50718,1.48106,1.28375,1.27901,1.20358,1.50731,1.76391,1.40432,2.07847,2.39743,2.97692,4.4549,6.62623,8.72418,12.1242,10.3529,9.50369,9.33032,10.0313,9.20422,9.91871,10.8467,11.061,11.7097,10.5037,10.8555,10.9421
AFG,Climate Watch,Energy,CH4,2.07356,0.391607,0.234011,0.232283,0.23046,0.15542,0.174022,0.172286,0.172285,0.170541,0.170542,0.0818921,0.0732303,0.0755277,0.0737922,0.0720896,0.0719506,0.0864737,0.0935818,0.0788335,0.160805,0.175033,0.174029,0.169578,0.176019,0.17029,0.191084,0.177776,0.199087,0.186381,0.113075,0.182418,0.24509,0.243793
AFG,Climate Watch,Energy,CO2,2.01989,1.91804,1.50539,1.51078,1.4791,1.44793,1.39982,1.33487,1.30875,1.11319,1.10844,1.12167,1.43405,1.68836,1.3305,2.00634,2.32544,2.8904,4.36128,6.54734,8.56329,11.949,10.1788,9.33402,9.15419,9.86089,9.01305,9.74083,10.6475,10.8745,11.5965,10.3211,10.6103,10.6982
AFG,Climate Watch,Energy,N2O,2.4e-05,2.4e-05,2.1e-05,2.3e-05,2.4e-05,2.4e-05,2.5e-05,2.4e-05,2.4e-05,2.2e-05,2.2e-05,2.4e-05,2.6e-05,3e-05,3e-05,3.5e-05,4e-05,4.8e-05,4e-05,6.2e-05,8.3e-05,0.000121,0.000101,9.4e-05,0.000114,9.3e-05,8.5e-05,9.6e-05,0.000107,0.000108,0.000118,0.000103,0.000109,0.000111
AFG,Climate Watch,Fugitive Emissions,All GHG,2.07345,0.391493,0.2339,0.232165,0.230337,0.155293,0.173888,0.172154,0.172154,0.170419,0.170419,0.0817691,0.0730963,0.0753777,0.0736432,0.0719086,0.0717536,0.0862667,0.0934458,0.0786225,0.160535,0.174682,0.17372,0.169311,0.17576,0.169993,0.19082,0.177495,0.198779,0.186064,0.11274,0.182111,0.244784,0.243486
AFG,Climate Watch,Fugitive Emissions,CH4,2.07345,0.391493,0.2339,0.232165,0.230337,0.155293,0.173888,0.172154,0.172154,0.170419,0.170419,0.0817691,0.0730963,0.0753777,0.0736432,0.0719086,0.0717536,0.0862667,0.0934458,0.0786225,0.160535,0.174682,0.17372,0.169311,0.17576,0.169993,0.19082,0.177495,0.198779,0.186064,0.11274,0.182111,0.244784,0.243486
AFG,Climate Watch,Fugitive Emissions,N2O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AFG,Climate Watch,Industrial Processes,All GHG,0.150753,0.136164,0.119629,0.115987,0.0769831,0.0691984,0.0622538,0.0619532,0.0614991,0.0609369,0.0235168,0.0465916,0.0597473,0.0676609,0.075119,0.0798217,0.0983636,0.111333,0.129631,0.140306,0.155461,0.165813,0.191052,0.208195,0.20818,0.23206,0.289002,0.279666,0.313792,0.317281,0.361674,0.334867,0.346682,0.364228
AFG,Climate Watch,Industrial Processes,CH4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AFG,Climate Watch,Industrial Processes,CO2,0.04577,0.04577,0.04577,0.04699,0.04699,0.04699,0.0474,0.0474,0.0474,0.0474,0.01022,0.006538,0.01103,0.009807,0.009807,0.006211,0.01218,0.01161,0.01524,0.01287,0.01455,0.01459,0.02893,0.03555,0.02864,0.04119,0.07613,0.04478,0.05688,0.03833,0.06067,0.01634,0.01062,0.01062
