y_pos,label,method_a,method_b,method_c,abs_share
1,CO2 excl. LULUCF — Annex I,32.84,36.25,32.95,47.28
2,CO2 excl. LULUCF — Annex II,21.27,22.29,21.27,36.63
3,,,,,
4,All GHG excl. LULUCF — Annex I,33.94,39.13,34.41,45.46
5,All GHG excl. LULUCF — Annex II,21.78,23.78,22.00,34.70
6,,,,,
7,CO2 incl. LULUCF — Annex I,27.15,30.80,27.47,40.19
8,CO2 incl. LULUCF — Annex II,18.39,19.84,18.53,31.05
9,,,,,
10,All GHG incl. LULUCF — Annex I,29.00,33.62,29.46,38.36
11,All GHG incl. LULUCF — Annex II,19.27,21.12,19.49,29.07
