measure,year,annex2_OWID,annex1_OWID,annex2_PRIMAP,annex1_PRIMAP,annex2_GCP_fossil,annex1_GCP_fossil,annex2_GCP_BLUE,annex1_GCP_BLUE,annex2_GCP_OSCAR,annex1_GCP_OSCAR,annex2_EDGAR,annex1_EDGAR,annex2_ClimateWatch,annex1_ClimateWatch
ghg_incLUC,1850,36.118,54.174,41.506,55.775,,,,,,,,,,
ghg_incLUC,1851,36.279,53.896,42.009,56.425,,,,,,,,,,
ghg_incLUC,1852,36.048,54.096,46.020,59.726,,,,,,,,,,
ghg_incLUC,1853,36.900,54.269,46.987,60.739,,,,,,,,,,
ghg_incLUC,1854,37.710,55.324,48.374,62.069,,,,,,,,,,
ghg_incLUC,1855,37.611,55.114,49.224,63.019,,,,,,,,,,
ghg_incLUC,1856,37.923,55.428,49.850,63.582,,,,,,,,,,
ghg_incLUC,1857,37.997,55.558,50.225,63.950,,,,,,,,,,
ghg_incLUC,1858,38.378,55.906,50.564,64.294,,,,,,,,,,
ghg_incLUC,1859,38.863,56.305,51.106,64.754,,,,,,,,,,
ghg_incLUC,1860,40.182,57.787,51.779,65.333,,,,,,,,,,
ghg_incLUC,1861,40.096,58.191,51.932,65.676,,,,,,,,,,
ghg_incLUC,1862,40.817,59.028,50.086,63.955,,,,,,,,,,
ghg_incLUC,1863,41.437,59.399,50.310,64.215,,,,,,,,,,
ghg_incLUC,1864,41.207,59.811,50.622,64.511,,,,,,,,,,
ghg_incLUC,1865,41.728,60.159,50.864,64.752,,,,,,,,,,
ghg_incLUC,1866,41.533,60.698,51.001,64.929,,,,,,,,,,
ghg_incLUC,1867,42.655,60.874,51.275,65.205,,,,,,,,,,
ghg_incLUC,1868,42.658,61.257,51.334,65.321,,,,,,,,,,
ghg_incLUC,1869,42.682,61.360,51.619,65.604,,,,,,,,,,
ghg_incLUC,1870,44.509,63.201,51.625,65.667,,,,,,,,,,
ghg_incLUC,1871,46.197,64.081,51.108,64.731,,,,,,,,,,
ghg_incLUC,1872,46.567,64.574,54.551,67.170,,,,,,,,,,
ghg_incLUC,1873,47.795,65.267,54.948,67.428,,,,,,,,,,
ghg_incLUC,1874,47.395,65.423,54.515,67.168,,,,,,,,,,
ghg_incLUC,1875,48.391,65.962,55.109,67.601,,,,,,,,,,
ghg_incLUC,1876,48.505,66.270,55.051,67.728,,,,,,,,,,
ghg_incLUC,1877,48.711,66.358,55.279,67.880,,,,,,,,,,
ghg_incLUC,1878,48.903,66.720,55.275,67.929,,,,,,,,,,
ghg_incLUC,1879,49.575,67.315,55.760,68.315,,,,,,,,,,
ghg_incLUC,1880,48.663,66.409,56.693,69.019,,,,,,,,,,
ghg_incLUC,1881,47.772,65.563,55.761,67.795,,,,,,,,,,
ghg_incLUC,1882,47.791,65.494,54.165,66.510,,,,,,,,,,
ghg_incLUC,1883,48.112,65.739,54.209,66.519,,,,,,,,,,
ghg_incLUC,1884,47.812,65.775,53.911,66.238,,,,,,,,,,
ghg_incLUC,1885,47.405,65.611,53.604,65.991,,,,,,,,,,
ghg_incLUC,1886,47.485,65.455,53.465,65.880,,,,,,,,,,
ghg_incLUC,1887,47.896,65.411,53.596,65.991,,,,,,,,,,
ghg_incLUC,1888,48.562,66.060,54.262,66.564,,,,,,,,,,
ghg_incLUC,1889,47.829,65.532,53.901,66.374,,,,,,,,,,
ghg_incLUC,1890,47.841,66.135,54.452,66.861,,,,,,,,,,
ghg_incLUC,1891,47.988,66.268,54.666,67.155,,,,,,,,,,
ghg_incLUC,1892,48.060,66.561,54.978,67.382,,,,,,,,,,
ghg_incLUC,1893,47.949,66.487,54.573,67.206,,,,,,,,,,
ghg_incLUC,1894,47.820,66.699,54.431,66.895,,,,,,,,,,
ghg_incLUC,1895,48.288,66.854,54.767,67.241,,,,,,,,,,
ghg_incLUC,1896,48.577,67.067,54.894,67.380,,,,,,,,,,
ghg_incLUC,1897,48.651,67.196,55.131,67.664,,,,,,,,,,
ghg_incLUC,1898,49.102,67.781,55.357,67.951,,,,,,,,,,
ghg_incLUC,1899,49.951,68.302,56.155,68.635,,,,,,,,,,
ghg_incLUC,1900,50.081,68.684,56.578,69.054,,,,,,,,,,
ghg_incLUC,1901,49.209,68.237,54.857,67.081,,,,,,,,,,
ghg_incLUC,1902,49.348,68.301,53.488,65.606,,,,,,,,,,
ghg_incLUC,1903,50.020,68.929,53.594,65.325,,,,,,,,,,
ghg_incLUC,1904,49.724,68.780,52.511,64.275,,,,,,,,,,
ghg_incLUC,1905,50.339,69.477,52.510,63.939,,,,,,,,,,
ghg_incLUC,1906,50.206,69.372,51.793,63.184,,,,,,,,,,
ghg_incLUC,1907,51.616,70.608,53.042,64.241,,,,,,,,,,
ghg_incLUC,1908,50.626,70.128,51.772,63.231,,,,,,,,,,
ghg_incLUC,1909,50.827,70.372,51.999,63.436,,,,,,,,,,
ghg_incLUC,1910,52.042,68.760,52.545,63.761,,,,,,,,,,
ghg_incLUC,1911,52.093,68.003,53.596,65.109,,,,,,,,,,
ghg_incLUC,1912,52.440,68.164,54.064,65.855,,,,,,,,,,
ghg_incLUC,1913,53.483,68.229,55.566,67.515,,,,,,,,,,
ghg_incLUC,1914,52.304,66.593,54.294,66.356,,,,,,,,,,
ghg_incLUC,1915,52.112,65.894,54.220,66.286,,,,,,,,,,
ghg_incLUC,1916,52.827,66.521,54.983,66.953,,,,,,,,,,
ghg_incLUC,1917,53.600,66.350,55.357,67.114,,,,,,,,,,
ghg_incLUC,1918,54.534,65.781,55.825,66.602,,,,,,,,,,
ghg_incLUC,1919,52.987,63.417,54.075,64.134,,,,,,,,,,
ghg_incLUC,1920,52.469,63.962,55.304,65.609,,,,,,,,,,
ghg_incLUC,1921,49.360,61.673,51.276,62.036,,,,,,,,,,
ghg_incLUC,1922,49.839,62.020,51.276,61.938,,,,,,,,,,
ghg_incLUC,1923,51.071,63.000,53.184,63.239,,,,,,,,,,
ghg_incLUC,1924,50.889,62.425,52.458,62.713,,,,,,,,,,
ghg_incLUC,1925,50.519,62.567,52.267,62.500,,,,,,,,,,
ghg_incLUC,1926,49.614,62.148,51.166,62.049,,,,,,,,,,
ghg_incLUC,1927,50.413,62.975,52.929,63.763,,,,,,,,,,
ghg_incLUC,1928,49.726,62.459,52.246,63.316,,,,,,,,,,
ghg_incLUC,1929,50.213,63.334,53.432,64.380,,,,,,,,,,
ghg_incLUC,1930,47.534,62.440,52.549,63.839,,,,,,,,,,
ghg_incLUC,1931,44.808,61.003,49.839,61.928,,,,,,,,,,
ghg_incLUC,1932,42.244,59.313,45.672,58.711,,,,,,,,,,
ghg_incLUC,1933,42.601,59.594,45.892,58.932,,,,,,,,,,
ghg_incLUC,1934,42.953,60.036,46.376,59.586,,,,,,,,,,
ghg_incLUC,1935,42.994,60.545,46.391,59.672,,,,,,,,,,
ghg_incLUC,1936,43.556,61.303,47.069,60.267,,,,,,,,,,
ghg_incLUC,1937,44.121,61.645,47.409,60.406,,,,,,,,,,
ghg_incLUC,1938,42.302,60.608,45.390,58.939,,,,,,,,,,
ghg_incLUC,1939,42.995,60.967,46.166,59.300,,,,,,,,,,
ghg_incLUC,1940,42.725,59.298,45.611,60.070,,,,,,,,,,
ghg_incLUC,1941,43.181,58.085,46.679,59.987,,,,,,,,,,
ghg_incLUC,1942,44.391,57.282,48.079,60.130,,,,,,,,,,
ghg_incLUC,1943,44.420,56.862,47.368,59.858,,,,,,,,,,
ghg_incLUC,1944,44.175,56.283,46.905,58.847,,,,,,,,,,
ghg_incLUC,1945,41.781,53.062,43.935,54.974,,,,,,,,,,
ghg_incLUC,1946,42.107,53.310,43.015,54.114,,,,,,,,,,
