measure,year,annex_2,annex_1,non_annex_1,world
ghg_incLUC,1875,9.641,8.813,2.040,4.138
ghg_excLUC,1875,3.153,2.445,0.264,0.939
co2_excLUC,1875,2.218,1.588,0.005,0.495
co2_incLUC,1875,8.673,8.161,1.331,3.446
ghg_incLUC,1876,9.717,8.905,2.045,4.178
ghg_excLUC,1876,3.127,2.450,0.265,0.944
co2_excLUC,1876,2.199,1.595,0.005,0.500
co2_incLUC,1876,8.756,8.249,1.325,3.477
ghg_incLUC,1877,9.874,9.023,2.076,4.244
ghg_excLUC,1877,3.153,2.467,0.265,0.952
co2_excLUC,1877,2.226,1.611,0.005,0.507
co2_incLUC,1877,8.908,8.359,1.352,3.539
ghg_incLUC,1878,9.951,9.108,2.074,4.278
ghg_excLUC,1878,3.121,2.455,0.268,0.954
co2_excLUC,1878,2.202,1.604,0.007,0.508
co2_incLUC,1878,8.988,8.439,1.344,3.568
ghg_incLUC,1879,10.208,9.300,2.072,4.346
ghg_excLUC,1879,3.268,2.562,0.269,0.990
co2_excLUC,1879,2.337,1.702,0.007,0.541
co2_incLUC,1879,9.227,8.613,1.331,3.621
ghg_incLUC,1880,10.182,9.324,2.175,4.431
ghg_excLUC,1880,3.590,2.786,0.270,1.064
co2_excLUC,1880,2.630,1.905,0.008,0.607
co2_incLUC,1880,8.974,8.495,1.470,3.687
ghg_incLUC,1881,9.947,9.163,2.229,4.424
ghg_excLUC,1881,3.663,2.839,0.271,1.084
co2_excLUC,1881,2.696,1.952,0.009,0.624
co2_incLUC,1881,8.674,8.294,1.529,3.670
ghg_incLUC,1882,10.090,9.282,2.274,4.498
ghg_excLUC,1882,3.799,2.935,0.272,1.117
co2_excLUC,1882,2.824,2.042,0.009,0.654
co2_incLUC,1882,8.766,8.381,1.583,3.741
ghg_incLUC,1883,10.280,9.431,2.293,4.564
ghg_excLUC,1883,3.952,3.052,0.273,1.157
co2_excLUC,1883,2.965,2.151,0.010,0.691
co2_incLUC,1883,8.900,8.491,1.603,3.794
ghg_incLUC,1884,10.164,9.389,2.287,4.552
ghg_excLUC,1884,3.936,3.048,0.274,1.158
co2_excLUC,1884,2.963,2.154,0.011,0.694
co2_incLUC,1884,8.757,8.429,1.599,3.777
ghg_incLUC,1885,10.019,9.313,2.293,4.537
ghg_excLUC,1885,3.904,3.035,0.274,1.157
co2_excLUC,1885,2.945,2.149,0.011,0.694
co2_incLUC,1885,8.602,8.344,1.602,3.757
ghg_incLUC,1886,9.974,9.236,2.298,4.521
ghg_excLUC,1886,3.908,3.042,0.274,1.161
co2_excLUC,1886,2.958,2.161,0.011,0.700
co2_incLUC,1886,8.544,8.257,1.606,3.737
ghg_incLUC,1887,10.155,9.319,2.331,4.575
ghg_excLUC,1887,4.033,3.131,0.276,1.193
co2_excLUC,1887,3.075,2.245,0.012,0.729
co2_incLUC,1887,8.700,8.320,1.636,3.782
ghg_incLUC,1888,10.396,9.505,2.318,4.631
ghg_excLUC,1888,4.363,3.368,0.278,1.272
co2_excLUC,1888,3.378,2.462,0.014,0.802
co2_incLUC,1888,8.900,8.475,1.613,3.822
ghg_incLUC,1889,10.209,9.404,2.356,4.630
ghg_excLUC,1889,4.291,3.334,0.280,1.265
co2_excLUC,1889,3.319,2.435,0.016,0.796
co2_incLUC,1889,8.715,8.370,1.651,3.819
ghg_incLUC,1890,10.720,9.967,2.440,4.875
ghg_excLUC,1890,4.586,3.548,0.281,1.337
co2_excLUC,1890,3.583,2.625,0.016,0.860
co2_incLUC,1890,9.217,8.966,1.718,4.062
ghg_incLUC,1891,10.895,10.123,2.474,4.956
ghg_excLUC,1891,4.714,3.651,0.283,1.376
co2_excLUC,1891,3.705,2.722,0.017,0.895
co2_incLUC,1891,9.362,9.099,1.745,4.131
ghg_incLUC,1892,10.805,10.074,2.441,4.925
ghg_excLUC,1892,4.694,3.637,0.285,1.376
co2_excLUC,1892,3.693,2.713,0.019,0.896
co2_incLUC,1892,9.273,9.045,1.703,4.092
ghg_incLUC,1893,10.714,10.007,2.444,4.913
ghg_excLUC,1893,4.544,3.555,0.289,1.355
co2_excLUC,1893,3.573,2.648,0.022,0.879
co2_incLUC,1893,9.210,8.988,1.694,4.075
ghg_incLUC,1894,10.794,10.147,2.466,4.981
ghg_excLUC,1894,4.649,3.629,0.292,1.384
co2_excLUC,1894,3.664,2.713,0.024,0.905
co2_incLUC,1894,9.275,9.113,1.710,4.134
ghg_incLUC,1895,10.923,10.198,2.473,5.010
ghg_excLUC,1895,4.827,3.772,0.296,1.438
co2_excLUC,1895,3.829,2.843,0.027,0.952
co2_incLUC,1895,9.388,9.142,1.712,4.152
ghg_incLUC,1896,10.993,10.241,2.471,5.031
ghg_excLUC,1896,4.906,3.836,0.299,1.464
co2_excLUC,1896,3.907,2.905,0.030,0.977
co2_incLUC,1896,9.453,9.176,1.696,4.160
ghg_incLUC,1897,11.126,10.376,2.500,5.103
ghg_excLUC,1897,5.044,3.953,0.302,1.508
co2_excLUC,1897,4.035,3.011,0.032,1.016
co2_incLUC,1897,9.575,9.293,1.722,4.224
ghg_incLUC,1898,11.292,10.531,2.482,5.151
ghg_excLUC,1898,5.211,4.094,0.307,1.562
co2_excLUC,1898,4.191,3.140,0.036,1.065
co2_incLUC,1898,9.729,9.429,1.694,4.258
ghg_incLUC,1899,11.679,10.797,2.496,5.256
ghg_excLUC,1899,5.600,4.380,0.310,1.663
co2_excLUC,1899,4.543,3.397,0.038,1.155
co2_incLUC,1899,10.080,9.660,1.698,4.346
ghg_incLUC,1900,11.804,10.953,2.497,5.316
ghg_excLUC,1900,5.813,4.547,0.309,1.722
co2_excLUC,1900,4.737,3.546,0.037,1.207
co2_incLUC,1900,10.192,9.875,1.720,4.438
ghg_incLUC,1901,11.750,11.034,2.578,5.405
ghg_excLUC,1901,5.893,4.619,0.316,1.754
co2_excLUC,1901,4.817,3.614,0.043,1.236
co2_incLUC,1901,10.162,10.002,1.817,4.553
ghg_incLUC,1902,11.801,11.071,2.589,5.431
ghg_excLUC,1902,5.979,4.668,0.319,1.776
co2_excLUC,1902,4.901,3.663,0.045,1.257
co2_incLUC,1902,10.221,10.060,1.842,4.596
ghg_incLUC,1903,12.169,11.378,2.593,5.543
ghg_excLUC,1903,6.440,4.984,0.324,1.889
co2_excLUC,1903,5.317,3.951,0.049,1.360
co2_incLUC,1903,10.554,10.369,1.841,4.705
ghg_incLUC,1904,12.156,11.421,2.630,5.588
ghg_excLUC,1904,6.394,4.973,0.330,1.892
co2_excLUC,1904,5.284,3.945,0.054,1.363
co2_incLUC,1904,10.557,10.431,1.869,4.750
ghg_incLUC,1905,12.438,11.671,2.610,5.666
ghg_excLUC,1905,6.738,5.200,0.333,1.975
co2_excLUC,1905,5.599,4.160,0.057,1.441
co2_incLUC,1905,10.799,10.670,1.848,4.823
ghg_incLUC,1906,12.531,11.785,2.657,5.743
ghg_excLUC,1906,6.900,5.346,0.345,2.035
co2_excLUC,1906,5.744,4.287,0.065,1.492
co2_incLUC,1906,10.871,10.771,1.887,4.890
ghg_incLUC,1907,13.269,12.367,2.638,5.934
ghg_excLUC,1907,7.674,5.916,0.370,2.249
co2_excLUC,1907,6.447,4.802,0.089,1.686
co2_incLUC,1907,11.543,11.304,1.863,5.061
ghg_incLUC,1908,12.783,12.077,2.644,5.847
ghg_excLUC,1908,7.221,5.621,0.379,2.158
co2_excLUC,1908,6.048,4.543,0.096,1.606
co2_incLUC,1908,11.111,11.053,1.855,4.978
ghg_incLUC,1909,12.984,12.274,2.662,5.929
ghg_excLUC,1909,7.436,5.785,0.382,2.219
co2_excLUC,1909,6.240,4.689,0.099,1.659
co2_incLUC,1909,11.297,11.238,1.862,5.050
ghg_incLUC,1910,13.137,11.861,2.778,5.868
ghg_excLUC,1910,7.746,5.992,0.386,2.293
co2_excLUC,1910,6.526,4.879,0.103,1.727
co2_incLUC,1910,11.334,10.528,2.003,4.903
ghg_incLUC,1911,13.095,11.692,2.836,5.849
ghg_excLUC,1911,7.763,6.023,0.397,2.310
co2_excLUC,1911,6.539,4.906,0.109,1.741
co2_incLUC,1911,11.265,10.259,2.061,4.849
ghg_incLUC,1912,13.202,11.748,2.825,5.858
ghg_excLUC,1912,8.049,6.269,0.394,2.391
co2_excLUC,1912,6.807,5.135,0.108,1.817
co2_incLUC,1912,11.337,10.220,2.050,4.826
ghg_incLUC,1913,13.736,12.005,2.871,5.971
ghg_excLUC,1913,8.619,6.694,0.413,2.544
co2_excLUC,1913,7.321,5.519,0.124,1.955
co2_incLUC,1913,11.808,10.383,2.088,4.903
ghg_incLUC,1914,12.934,11.290,2.902,5.744
ghg_excLUC,1914,7.813,6.072,0.409,2.328
co2_excLUC,1914,6.612,4.971,0.117,1.762
co2_incLUC,1914,11.098,9.692,2.117,4.684
ghg_incLUC,1915,12.682,11.003,2.911,5.648
ghg_excLUC,1915,7.676,5.956,0.410,2.286
co2_excLUC,1915,6.489,4.869,0.115,1.723
co2_incLUC,1915,10.861,9.377,2.119,4.574
ghg_incLUC,1916,13.140,11.363,2.916,5.769
ghg_excLUC,1916,8.200,6.351,0.425,2.426
co2_excLUC,1916,6.960,5.228,0.125,1.848
co2_incLUC,1916,11.285,9.681,2.107,4.665
ghg_incLUC,1917,13.396,11.398,2.940,5.792
ghg_excLUC,1917,8.530,6.573,0.439,2.507
co2_excLUC,1917,7.250,5.431,0.135,1.920
co2_incLUC,1917,11.506,9.670,2.111,4.659
ghg_incLUC,1918,13.428,11.145,2.941,5.702
ghg_excLUC,1918,8.529,6.417,0.443,2.454
co2_excLUC,1918,7.266,5.317,0.136,1.880
co2_incLUC,1918,11.554,9.430,2.110,4.573
ghg_incLUC,1919,12.325,10.157,2.966,5.383
ghg_excLUC,1919,7.518,5.531,0.464,2.167
co2_excLUC,1919,6.350,4.514,0.153,1.619
co2_incLUC,1919,10.535,8.487,2.125,4.263
ghg_incLUC,1920,13.276,11.147,3.175,5.852
ghg_excLUC,1920,8.470,6.307,0.495,2.447
co2_excLUC,1920,7.203,5.217,0.182,1.873
co2_incLUC,1920,11.435,9.517,2.459,4.829
ghg_incLUC,1921,12.126,10.429,3.271,5.672
ghg_excLUC,1921,7.254,5.468,0.509,2.172
co2_excLUC,1921,6.140,4.486,0.193,1.633
co2_incLUC,1921,10.423,8.918,2.592,4.714
ghg_incLUC,1922,12.449,10.662,3.297,5.768
ghg_excLUC,1922,7.587,5.697,0.510,2.250
co2_excLUC,1922,6.421,4.680,0.191,1.697
co2_incLUC,1922,10.678,9.112,2.644,4.814
ghg_incLUC,1923,13.360,11.340,3.367,6.045
ghg_excLUC,1923,8.620,6.389,0.519,2.490
co2_excLUC,1923,7.342,5.294,0.196,1.908
co2_incLUC,1923,11.472,9.727,2.734,5.083
ghg_incLUC,1924,13.178,11.122,3.389,5.988
ghg_excLUC,1924,8.512,6.336,0.532,2.483
co2_excLUC,1924,7.243,5.245,0.204,1.898
co2_incLUC,1924,11.294,9.518,2.764,5.034
ghg_incLUC,1925,13.167,11.217,3.402,6.031
ghg_excLUC,1925,8.510,6.326,0.527,2.478
co2_excLUC,1925,7.251,5.243,0.196,1.893
co2_incLUC,1925,11.273,9.612,2.778,5.076
ghg_incLUC,1926,12.774,11.004,3.401,5.961
ghg_excLUC,1926,8.206,6.162,0.523,2.421
co2_excLUC,1926,7.003,5.108,0.189,1.845
co2_incLUC,1926,10.916,9.419,2.784,5.017
ghg_incLUC,1927,13.310,11.433,3.414,6.115
ghg_excLUC,1927,8.859,6.668,0.527,2.596
co2_excLUC,1927,7.577,5.552,0.189,1.995
co2_incLUC,1927,11.354,9.773,2.793,5.144
ghg_incLUC,1928,13.066,11.284,3.449,6.090
ghg_excLUC,1928,8.671,6.563,0.533,2.566
co2_excLUC,1928,7.422,5.467,0.190,1.969
co2_incLUC,1928,11.128,9.636,2.828,5.123
ghg_incLUC,1929,13.508,11.712,3.449,6.234
ghg_excLUC,1929,9.189,6.961,0.542,2.706
co2_excLUC,1929,7.890,5.825,0.196,2.093
co2_incLUC,1929,11.506,10.011,2.826,5.248
ghg_incLUC,1930,12.410,11.203,3.424,6.045
ghg_excLUC,1930,8.325,6.400,0.541,2.515
co2_excLUC,1930,7.108,5.300,0.193,1.914
co2_incLUC,1930,10.323,9.519,2.798,5.062
ghg_incLUC,1931,11.283,10.552,3.421,5.821
ghg_excLUC,1931,7.270,5.715,0.531,2.276
co2_excLUC,1931,6.162,4.677,0.182,1.695
co2_incLUC,1931,9.208,8.893,2.797,4.848
ghg_incLUC,1932,10.289,9.919,3.442,5.617
ghg_excLUC,1932,6.417,5.127,0.538,2.080
co2_excLUC,1932,5.398,4.150,0.180,1.513
co2_incLUC,1932,8.252,8.311,2.799,4.651
ghg_incLUC,1933,10.450,10.032,3.428,5.641
ghg_excLUC,1933,6.670,5.326,0.553,2.152
co2_excLUC,1933,5.631,4.331,0.191,1.578
co2_incLUC,1933,8.345,8.382,2.777,4.655
ghg_incLUC,1934,10.822,10.375,3.468,5.776
ghg_excLUC,1934,7.082,5.690,0.584,2.291
co2_excLUC,1934,6.008,4.654,0.214,1.698
co2_incLUC,1934,8.646,8.685,2.803,4.769
ghg_incLUC,1935,10.900,10.523,3.430,5.795
ghg_excLUC,1935,7.276,5.875,0.613,2.367
co2_excLUC,1935,6.190,4.821,0.234,1.763
co2_incLUC,1935,8.677,8.802,2.754,4.771
ghg_incLUC,1936,11.474,11.064,3.481,6.003
ghg_excLUC,1936,7.890,6.372,0.628,2.539
co2_excLUC,1936,6.746,5.264,0.245,1.915
co2_incLUC,1936,9.166,9.287,2.792,4.952
ghg_incLUC,1937,11.832,11.321,3.496,6.092
ghg_excLUC,1937,8.354,6.711,0.652,2.662
co2_excLUC,1937,7.167,5.571,0.265,2.025
co2_incLUC,1937,9.459,9.507,2.799,5.024
ghg_incLUC,1938,11.082,10.868,3.493,5.933
ghg_excLUC,1938,7.641,6.262,0.654,2.509
co2_excLUC,1938,6.528,5.166,0.262,1.885
co2_incLUC,1938,8.763,9.096,2.776,4.867
ghg_incLUC,1939,11.408,11.067,3.493,5.994
ghg_excLUC,1939,8.039,6.529,0.673,2.607
co2_excLUC,1939,6.890,5.407,0.279,1.972
co2_incLUC,1939,9.033,9.264,2.763,4.910
ghg_incLUC,1940,11.738,11.147,3.762,6.196
ghg_excLUC,1940,8.352,7.026,0.696,2.783
co2_excLUC,1940,7.188,5.865,0.301,2.135
co2_incLUC,1940,9.354,9.143,3.142,5.120
ghg_incLUC,1941,12.044,11.090,3.928,6.286
ghg_excLUC,1941,8.658,7.144,0.700,2.822
co2_excLUC,1941,7.455,5.971,0.298,2.166
co2_incLUC,1941,9.617,8.977,3.335,5.193
ghg_incLUC,1942,12.341,10.910,3.989,6.266
ghg_excLUC,1942,8.935,7.119,0.679,2.798
co2_excLUC,1942,7.685,5.941,0.279,2.141
co2_incLUC,1942,9.858,8.712,3.404,5.150
ghg_incLUC,1943,12.412,10.897,4.051,6.302
ghg_excLUC,1943,9.021,7.234,0.678,2.834
co2_excLUC,1943,7.750,6.030,0.271,2.165
co2_incLUC,1943,9.902,8.612,3.462,5.155
ghg_incLUC,1944,12.346,10.799,4.109,6.309
ghg_excLUC,1944,8.937,7.270,0.699,2.860
co2_excLUC,1944,7.671,6.065,0.284,2.185
co2_incLUC,1944,9.808,8.429,3.499,5.120
ghg_incLUC,1945,10.954,9.565,4.142,5.924
ghg_excLUC,1945,7.528,6.065,0.676,2.447
co2_excLUC,1945,6.348,4.961,0.256,1.802
co2_incLUC,1945,8.469,7.219,3.501,4.723
ghg_incLUC,1946,11.293,9.855,4.216,6.067
ghg_excLUC,1946,7.854,6.439,0.713,2.593
co2_excLUC,1946,6.660,5.309,0.267,1.922
co2_incLUC,1946,8.755,7.405,3.526,4.799
ghg_incLUC,1947,12.141,10.457,4.276,6.302
ghg_excLUC,1947,8.698,7.136,0.744,2.839
co2_excLUC,1947,7.377,5.900,0.303,2.137
co2_incLUC,1947,9.438,7.831,3.559,4.959
ghg_incLUC,1948,12.564,10.718,4.278,6.387
ghg_excLUC,1948,9.124,7.487,0.729,2.943
co2_excLUC,1948,7.752,6.209,0.300,2.235
co2_incLUC,1948,9.785,7.999,3.550,5.007
ghg_incLUC,1949,11.821,10.226,4.303,6.239
ghg_excLUC,1949,8.423,7.127,0.729,2.820
co2_excLUC,1949,7.090,5.858,0.294,2.113
co2_incLUC,1949,9.019,7.437,3.548,4.819
ghg_incLUC,1950,12.485,11.043,4.785,6.846
ghg_excLUC,1950,9.124,7.703,0.770,3.053
co2_excLUC,1950,7.733,6.385,0.339,2.330
co2_incLUC,1950,9.651,8.302,4.170,5.531
ghg_incLUC,1951,12.874,11.532,5.033,7.162
ghg_excLUC,1951,9.606,8.115,0.804,3.198
co2_excLUC,1951,8.152,6.744,0.372,2.458
co2_incLUC,1951,9.970,8.771,4.465,5.875
ghg_incLUC,1952,12.729,11.560,4.984,7.123
ghg_excLUC,1952,9.449,8.077,0.835,3.190
co2_excLUC,1952,7.993,6.693,0.399,2.446
co2_incLUC,1952,9.842,8.826,4.397,5.837
ghg_incLUC,1953,12.786,11.722,4.964,7.146
ghg_excLUC,1953,9.550,8.213,0.836,3.217
co2_excLUC,1953,8.067,6.800,0.401,2.467
co2_incLUC,1953,9.879,9.008,4.368,5.866
ghg_incLUC,1954,12.636,11.782,5.126,7.259
ghg_excLUC,1954,9.428,8.222,0.874,3.229
co2_excLUC,1954,7.930,6.786,0.436,2.471
co2_incLUC,1954,9.724,9.073,4.593,6.028
ghg_incLUC,1955,13.265,12.407,5.202,7.492
ghg_excLUC,1955,10.076,8.805,0.960,3.453
co2_excLUC,1955,8.495,7.292,0.490,2.652
co2_incLUC,1955,10.281,9.647,4.618,6.217
ghg_incLUC,1956,13.645,12.812,5.183,7.589
ghg_excLUC,1956,10.508,9.219,0.992,3.586
co2_excLUC,1956,8.861,7.641,0.523,2.768
co2_incLUC,1956,10.599,10.006,4.576,6.288
ghg_incLUC,1957,13.601,12.931,5.249,7.652
ghg_excLUC,1957,10.474,9.323,1.041,3.631
co2_excLUC,1957,8.801,7.710,0.559,2.795
co2_incLUC,1957,10.554,10.123,4.627,6.346
ghg_incLUC,1958,13.200,12.747,5.283,7.599
ghg_excLUC,1958,10.148,9.174,1.183,3.662
co2_excLUC,1958,8.478,7.553,0.697,2.824
co2_incLUC,1958,10.152,9.935,4.617,6.267
ghg_incLUC,1959,13.192,13.134,5.485,7.843
ghg_excLUC,1959,10.245,9.309,1.337,3.795
co2_excLUC,1959,8.548,7.661,0.804,2.918
co2_incLUC,1959,10.089,10.483,4.743,6.513
ghg_incLUC,1960,13.478,13.100,5.135,7.580
ghg_excLUC,1960,10.670,9.660,1.397,3.934
co2_excLUC,1960,8.915,7.969,0.856,3.039
co2_incLUC,1960,10.281,10.144,4.184,6.013
ghg_incLUC,1961,13.442,13.114,5.031,7.502
