measure,year,annex_2,annex_1,non_annex_1,world
co2_excLUC,1976,13.064,12.412,1.325,4.211
co2_incLUC,1976,13.621,13.263,3.250,5.857
ghg_incLUC,1977,17.633,17.141,4.647,7.866
ghg_excLUC,1977,15.173,14.526,1.996,5.224
co2_excLUC,1977,13.123,12.545,1.375,4.253
co2_incLUC,1977,14.044,13.614,3.486,6.095
ghg_incLUC,1978,17.617,17.249,4.684,7.887
ghg_excLUC,1978,15.370,14.767,2.063,5.301
co2_excLUC,1978,13.328,12.780,1.443,4.333
co2_incLUC,1978,14.062,13.742,3.512,6.120
ghg_incLUC,1979,17.882,17.379,4.501,7.749
ghg_excLUC,1979,15.627,14.943,2.110,5.346
co2_excLUC,1979,13.552,12.929,1.481,4.368
co2_incLUC,1979,14.268,13.807,3.219,5.889
ghg_incLUC,1980,17.417,17.261,4.415,7.619
ghg_excLUC,1980,15.093,14.668,2.063,5.207
co2_excLUC,1980,13.057,12.687,1.473,4.271
co2_incLUC,1980,13.838,13.741,3.178,5.813
ghg_incLUC,1981,16.689,16.489,4.274,7.287
ghg_excLUC,1981,14.454,14.092,1.980,4.968
co2_excLUC,1981,12.458,12.158,1.441,4.084
co2_incLUC,1981,13.244,13.057,3.111,5.564
ghg_incLUC,1982,15.988,16.080,4.197,7.093
ghg_excLUC,1982,13.831,13.719,2.005,4.860
co2_excLUC,1982,11.871,11.798,1.469,3.986
co2_incLUC,1982,12.529,12.617,2.989,5.335
ghg_incLUC,1983,15.867,16.009,4.248,7.080
ghg_excLUC,1983,13.682,13.634,2.024,4.820
co2_excLUC,1983,11.742,11.727,1.488,3.954
co2_incLUC,1983,12.631,12.731,3.061,5.390
ghg_incLUC,1984,16.054,16.158,4.417,7.212
ghg_excLUC,1984,13.883,13.775,2.081,4.865
co2_excLUC,1984,11.975,11.890,1.535,4.000
co2_incLUC,1984,12.755,12.825,3.290,5.560
ghg_incLUC,1985,16.030,16.356,4.535,7.316
ghg_excLUC,1985,13.890,13.972,2.142,4.925
co2_excLUC,1985,11.995,12.103,1.597,4.068
co2_incLUC,1985,12.673,12.991,3.408,5.662
ghg_incLUC,1986,15.787,16.171,4.600,7.290
ghg_excLUC,1986,13.773,13.891,2.187,4.908
co2_excLUC,1986,11.893,12.031,1.632,4.049
co2_incLUC,1986,12.471,12.861,3.489,5.668
ghg_incLUC,1987,15.943,16.229,4.503,7.197
ghg_excLUC,1987,14.008,14.036,2.226,4.939
co2_excLUC,1987,12.130,12.177,1.667,4.082
co2_incLUC,1987,12.702,12.941,3.333,5.540
ghg_incLUC,1988,16.242,16.409,4.465,7.177
ghg_excLUC,1988,14.313,14.244,2.318,5.026
co2_excLUC,1988,12.452,12.399,1.743,4.163
co2_incLUC,1988,13.011,13.151,3.266,5.510
ghg_incLUC,1989,16.406,16.349,4.423,7.100
ghg_excLUC,1989,14.480,14.229,2.334,5.004
co2_excLUC,1989,12.627,12.406,1.747,4.140
co2_incLUC,1989,13.166,13.095,3.184,5.409
ghg_incLUC,1990,16.918,16.692,4.313,7.061
ghg_excLUC,1990,14.932,14.558,2.287,5.011
co2_excLUC,1990,13.137,12.793,1.710,4.170
co2_incLUC,1990,13.693,13.487,3.043,5.362
ghg_incLUC,1991,16.697,16.220,4.406,7.001
ghg_excLUC,1991,14.801,14.174,2.426,5.007
co2_excLUC,1991,13.016,12.453,1.862,4.189
co2_incLUC,1991,13.439,13.045,3.131,5.309
ghg_incLUC,1992,16.611,15.555,4.383,6.811
ghg_excLUC,1992,14.765,13.651,2.350,4.806
co2_excLUC,1992,12.992,11.964,1.782,3.996
co2_incLUC,1992,13.460,12.489,3.146,5.177
ghg_incLUC,1993,16.494,15.221,4.367,6.702
ghg_excLUC,1993,14.702,13.415,2.407,4.775
co2_excLUC,1993,12.950,11.768,1.839,3.975
co2_incLUC,1993,13.413,12.250,3.112,5.078
ghg_incLUC,1994,16.572,14.886,4.639,6.821
ghg_excLUC,1994,14.801,13.165,2.472,4.749
co2_excLUC,1994,13.052,11.548,1.895,3.951
co2_incLUC,1994,13.535,12.010,3.430,5.257
ghg_incLUC,1995,16.675,14.832,4.616,6.769
ghg_excLUC,1995,14.868,13.177,2.544,4.785
co2_excLUC,1995,13.140,11.573,1.955,3.982
co2_incLUC,1995,13.744,12.022,3.366,5.191
ghg_incLUC,1996,16.946,15.290,4.633,6.855
ghg_excLUC,1996,15.141,13.344,2.612,4.850
co2_excLUC,1996,13.425,11.755,2.007,4.040
co2_incLUC,1996,14.030,12.542,3.353,5.269
ghg_incLUC,1997,16.761,14.723,5.013,7.017
ghg_excLUC,1997,15.064,13.188,2.622,4.802
co2_excLUC,1997,13.385,11.627,2.020,4.002
co2_incLUC,1997,13.898,12.011,3.763,5.465
ghg_incLUC,1998,16.782,14.683,4.639,6.689
ghg_excLUC,1998,15.036,13.100,2.545,4.700
co2_excLUC,1998,13.431,11.600,1.958,3.926
co2_incLUC,1998,14.058,12.097,3.435,5.203
ghg_incLUC,1999,16.820,14.688,4.617,6.651
ghg_excLUC,1999,15.056,13.090,2.598,4.717
co2_excLUC,1999,13.494,11.609,2.021,3.958
co2_incLUC,1999,14.098,12.105,3.401,5.160
ghg_incLUC,2000,17.125,14.815,4.567,6.617
ghg_excLUC,2000,15.296,13.266,2.654,4.777
co2_excLUC,2000,13.766,11.798,2.064,4.011
co2_incLUC,2000,14.460,12.246,3.345,5.125
ghg_incLUC,2001,16.720,14.578,4.433,6.443
ghg_excLUC,2001,15.073,13.174,2.654,4.738
co2_excLUC,2001,13.594,11.735,2.074,3.988
co2_incLUC,2001,14.043,11.972,3.202,4.939
ghg_incLUC,2002,16.650,14.480,4.603,6.542
ghg_excLUC,2002,15.033,13.138,2.701,4.751
co2_excLUC,2002,13.598,11.727,2.141,4.023
co2_incLUC,2002,14.031,11.907,3.408,5.077
ghg_incLUC,2003,16.886,14.796,4.981,6.892
ghg_excLUC,2003,15.107,13.282,2.914,4.933
co2_excLUC,2003,13.684,11.870,2.324,4.183
co2_incLUC,2003,14.473,12.374,3.795,5.465
ghg_incLUC,2004,16.856,14.780,4.936,6.837
ghg_excLUC,2004,15.117,13.330,3.033,5.021
co2_excLUC,2004,13.719,11.928,2.432,4.265
co2_incLUC,2004,14.392,12.313,3.704,5.366
ghg_incLUC,2005,16.712,14.758,4.964,6.839
ghg_excLUC,2005,15.015,13.318,3.177,5.118
co2_excLUC,2005,13.640,11.918,2.565,4.356
co2_incLUC,2005,14.334,12.334,3.697,5.350
ghg_incLUC,2006,16.125,14.457,5.172,6.934
ghg_excLUC,2006,14.801,13.284,3.319,5.210
co2_excLUC,2006,13.431,11.878,2.700,4.442
co2_incLUC,2006,13.570,11.902,3.901,5.420
ghg_incLUC,2007,16.175,14.614,5.138,6.922
ghg_excLUC,2007,14.781,13.326,3.408,5.275
co2_excLUC,2007,13.417,11.914,2.794,4.511
co2_incLUC,2007,13.683,12.103,3.861,5.413
ghg_incLUC,2008,15.823,14.325,5.280,6.970
ghg_excLUC,2008,14.264,12.965,3.528,5.292
co2_excLUC,2008,12.928,11.573,2.915,4.533
co2_incLUC,2008,13.491,11.917,4.006,5.484
ghg_incLUC,2009,14.556,13.414,5.397,6.884
ghg_excLUC,2009,13.202,12.036,3.572,5.141
co2_excLUC,2009,11.944,10.708,2.969,4.404
co2_incLUC,2009,12.236,11.080,4.169,5.451
ghg_incLUC,2010,15.100,14.005,5.507,7.070
ghg_excLUC,2010,13.475,12.349,3.766,5.345
co2_excLUC,2010,12.238,11.020,3.149,4.597
co2_incLUC,2010,13.067,11.858,4.221,5.626
ghg_incLUC,2011,14.607,13.555,5.743,7.169
ghg_excLUC,2011,13.150,12.207,3.959,5.464
co2_excLUC,2011,11.921,10.870,3.320,4.698
co2_incLUC,2011,12.307,11.161,4.442,5.668
ghg_incLUC,2012,14.308,13.545,5.794,7.197
ghg_excLUC,2012,12.853,12.000,4.029,5.472
co2_excLUC,2012,11.654,10.677,3.387,4.707
co2_incLUC,2012,12.017,11.189,4.510,5.718
ghg_incLUC,2013,14.182,13.293,5.738,7.094
ghg_excLUC,2013,12.881,11.931,4.025,5.445
co2_excLUC,2013,11.692,10.615,3.393,4.690
co2_incLUC,2013,11.998,10.984,4.492,5.658
ghg_incLUC,2014,13.991,13.029,5.767,7.062
ghg_excLUC,2014,12.646,11.720,4.043,5.412
co2_excLUC,2014,11.452,10.405,3.411,4.658
co2_incLUC,2014,11.760,10.670,4.534,5.628
ghg_incLUC,2015,13.659,12.980,5.690,6.982
ghg_excLUC,2015,12.383,11.510,4.004,5.334
co2_excLUC,2015,11.212,10.213,3.378,4.589
co2_incLUC,2015,11.474,10.699,4.458,5.563
ghg_incLUC,2016,13.422,12.829,5.455,6.754
ghg_excLUC,2016,12.076,11.319,3.977,5.270
co2_excLUC,2016,10.952,10.045,3.354,4.532
co2_incLUC,2016,11.307,10.590,4.230,5.349
ghg_incLUC,2017,13.414,12.851,5.477,6.767
ghg_excLUC,2017,11.959,11.291,4.026,5.297
co2_excLUC,2017,10.823,10.001,3.397,4.552
co2_incLUC,2017,11.279,10.602,4.255,5.365
ghg_incLUC,2018,13.355,12.778,5.481,6.750
ghg_excLUC,2018,11.986,11.356,4.091,5.354
co2_excLUC,2018,10.826,10.033,3.452,4.596
co2_incLUC,2018,11.206,10.508,4.244,5.333
ghg_incLUC,2019,12.941,12.421,5.548,6.735
ghg_excLUC,2019,11.646,11.076,4.159,5.354
co2_excLUC,2019,10.476,9.732,3.520,4.593
co2_incLUC,2019,10.768,10.089,4.315,5.312
ghg_incLUC,2020,11.816,11.487,5.372,6.420
ghg_excLUC,2020,10.530,10.182,4.032,5.086
co2_excLUC,2020,9.443,8.906,3.413,4.355
co2_incLUC,2020,9.771,9.262,4.142,5.020
ghg_incLUC,2021,12.403,12.070,5.506,6.622
ghg_excLUC,2021,11.072,10.700,4.165,5.276
co2_excLUC,2021,9.945,9.373,3.535,4.528
co2_incLUC,2021,10.297,9.767,4.242,5.182
ghg_incLUC,2022,12.274,11.981,5.600,6.676
ghg_excLUC,2022,10.979,10.573,4.260,5.325
co2_excLUC,2022,9.847,9.244,3.612,4.562
co2_incLUC,2022,10.167,9.701,4.322,5.229
ghg_incLUC,2023,11.861,11.737,5.675,6.689
ghg_excLUC,2023,10.568,10.321,4.352,5.351
co2_excLUC,2023,9.426,8.983,3.693,4.578
co2_incLUC,2023,9.745,9.440,4.386,5.232
ghg_incLUC,2024,11.710,11.673,5.678,6.674
ghg_excLUC,2024,10.443,10.286,4.378,5.359
co2_excLUC,2024,9.316,8.950,3.717,4.587
co2_incLUC,2024,9.608,9.386,4.387,5.217
