year,annex2_OWID,annex1_OWID,nona1_OWID,annex2_PRIMAP,annex1_PRIMAP,nona1_PRIMAP,annex2_GCP_fossil,annex1_GCP_fossil,nona1_GCP_fossil,annex2_GCP_BLUE,annex1_GCP_BLUE,nona1_GCP_BLUE,annex2_GCP_OSCAR,annex1_GCP_OSCAR,nona1_GCP_OSCAR,annex2_GCP_LUCE,annex1_GCP_LUCE,nona1_GCP_LUCE,annex2_EDGAR,annex1_EDGAR,nona1_EDGAR,annex2_ClimateWatch,annex1_ClimateWatch,nona1_ClimateWatch
1880,3427.980,4545.380,670.067,2701.935,3070.078,327.088,,,,3427.980,4545.380,670.067,2706.804,3251.292,537.411,2982.760,3912.416,519.199,,,,,,
1881,3395.334,4523.954,701.433,2746.107,3115.924,440.513,,,,3395.334,4523.954,701.433,2671.818,3225.053,563.303,2974.546,3912.365,540.114,,,,,,
1882,3488.861,4638.429,724.072,2596.973,2968.962,471.347,,,,3488.861,4638.429,724.072,2760.443,3323.637,579.425,3072.867,4031.340,560.054,,,,,,
1883,3559.777,4728.318,750.202,2650.009,3027.867,495.281,,,,3559.777,4728.318,750.202,2857.300,3430.146,590.653,3160.315,4137.612,580.191,,,,,,
1884,3547.366,4741.938,752.501,2657.348,3037.596,516.555,,,,3547.366,4741.938,752.501,2846.498,3437.212,598.385,3158.337,4161.844,576.510,,,,,,
1885,3585.372,4799.385,706.225,2661.866,3046.036,533.422,,,,3585.372,4799.386,706.225,2863.535,3466.655,578.040,3208.747,4230.882,527.374,,,,,,
1886,3591.191,4792.395,724.072,2674.250,3060.955,544.390,,,,3591.191,4792.395,724.072,2887.111,3471.240,595.180,3208.089,4216.127,541.121,,,,,,
1887,3701.097,4892.725,732.212,2715.680,3105.872,551.185,,,,3701.097,4892.725,732.212,2994.327,3563.582,609.674,3326.838,4324.351,547.481,,,,,,
1888,3775.246,4986.059,740.243,2820.789,3217.534,556.843,,,,3775.246,4986.059,740.243,3094.775,3678.815,620.308,3394.496,4410.622,559.671,,,,,,
1889,3770.947,5001.617,762.716,2804.925,3208.332,562.844,,,,3770.947,5001.617,762.716,3082.954,3683.144,644.713,3394.478,4430.134,579.481,,,,,,
1890,4045.102,5407.919,767.433,2906.196,3316.901,561.019,,,,4045.102,5407.919,767.433,3343.688,4036.553,648.948,3669.040,4812.854,587.438,,,,,,
1891,4152.729,5542.591,779.786,2999.614,3418.324,508.833,,,,4152.729,5542.592,779.786,3479.132,4192.992,662.603,3775.851,4944.245,595.064,,,,,,
1892,4125.556,5529.214,775.962,3068.443,3488.701,499.361,,,,4125.556,5529.214,775.962,3468.503,4193.823,663.603,3739.965,4924.071,590.171,,,,,,
1893,4125.389,5531.654,787.585,3054.818,3484.277,491.704,,,,4125.389,5531.654,787.585,3504.164,4230.210,679.287,3717.150,4906.513,601.351,,,,,,
1894,4197.967,5656.638,796.530,3116.045,3548.620,542.420,,,,4197.967,5656.638,796.530,3586.209,4362.475,678.908,3790.045,5034.651,609.023,,,,,,
1895,4276.443,5721.578,802.593,3207.191,3650.327,545.575,,,,4276.443,5721.579,802.593,3668.885,4429.284,692.591,3854.687,5088.322,614.109,,,,,,
1896,4323.015,5773.715,806.166,3242.169,3691.250,563.287,,,,4323.015,5773.716,806.166,3729.667,4493.192,704.832,3903.069,5144.768,619.883,,,,,,
1897,4428.821,5908.624,817.243,3318.113,3778.764,567.256,,,,4428.821,5908.623,817.242,3826.097,4616.359,723.153,4009.653,5282.999,623.486,,,,,,
1898,4486.877,5995.519,829.967,3399.081,3872.940,572.184,,,,4486.877,5995.519,829.967,3904.497,4721.255,740.432,4060.490,5365.256,632.675,,,,,,
1899,4653.654,6171.433,842.803,3549.404,4035.841,581.518,,,,4653.654,6171.433,842.803,4071.734,4895.396,760.140,4237.795,5554.277,640.809,,,,,,
1900,4657.962,6260.530,957.189,3645.523,4144.020,585.902,,,,4657.962,6260.530,957.189,4100.866,4906.907,808.593,4200.837,5583.318,744.864,,,,,,
1901,4738.149,6431.853,1029.033,3703.787,4215.961,822.488,,,,4738.149,6431.853,1029.033,4092.113,4928.906,859.999,4302.690,5767.891,806.198,,,,,,
1902,4801.144,6518.767,1072.686,3645.656,4155.895,950.997,,,,4801.144,6518.767,1072.686,4107.887,4936.688,883.356,4365.121,5852.894,840.542,,,,,,
1903,4956.757,6732.435,1104.167,3825.546,4339.773,1072.012,,,,4956.758,6732.435,1104.167,4242.132,5075.781,916.042,4543.466,6084.757,860.889,,,,,,
1904,5032.630,6857.636,1121.997,3824.039,4349.833,1185.749,,,,5032.630,6857.636,1121.997,4329.466,5181.373,936.124,4625.256,6213.140,867.641,,,,,,
1905,5148.791,7027.867,1142.908,3967.529,4491.413,1294.471,,,,5148.791,7027.867,1142.908,4424.888,5300.968,955.257,4768.311,6409.434,885.507,,,,,,
1906,5258.851,7182.359,1171.522,4081.965,4623.470,1406.655,,,,5258.852,7182.359,1171.522,4518.099,5410.467,987.222,4900.470,6585.430,911.236,,,,,,
1907,5543.678,7525.785,1194.808,4417.640,4980.050,1439.796,,,,5543.678,7525.786,1194.808,4776.376,5706.213,1024.298,5196.760,6940.554,930.611,,,,,,
1908,5406.209,7429.374,1221.224,4301.448,4871.748,1477.514,,,,5406.209,7429.375,1221.224,4653.065,5602.182,1054.081,5076.338,6862.153,951.288,,,,,,
1909,5534.790,7607.668,1239.786,4411.609,4991.452,1495.938,,,,5534.790,7607.668,1239.786,4774.329,5754.825,1081.400,5213.929,7050.677,971.092,,,,,,
1910,5627.798,7284.741,1373.517,4566.236,5143.372,1515.299,,,,5627.798,7284.741,1373.517,4945.992,5781.036,1148.067,5339.863,6848.428,1094.338,,,,,,
1911,5650.655,7186.385,1439.754,4598.656,5186.421,1314.785,,,,5650.655,7186.385,1439.754,4960.778,5775.826,1226.976,5373.258,6798.312,1146.172,,,,,,
1912,5711.656,7198.993,1446.140,4687.201,5295.881,1231.949,,,,5711.656,7198.993,1446.140,5011.679,5873.477,1244.044,5443.978,6840.731,1145.271,,,,,,
