measure,year,usa,euro_a2,other_a2,other_ai,chn,ind,nai_g20,other_non_ai
ghg_incLUC,1895,2051.126,1386.227,364.101,1461.592,391.033,366.898,572.748,1278.708
ghg_incLUC,1896,2064.314,1430.130,370.971,1471.351,399.161,368.131,583.622,1269.625
ghg_incLUC,1897,2101.120,1475.309,376.538,1506.859,412.573,370.180,595.757,1286.882
ghg_incLUC,1898,2172.660,1499.750,381.226,1542.054,419.785,372.326,598.507,1269.202
ghg_incLUC,1899,2282.668,1566.253,388.566,1556.794,424.830,373.631,608.054,1282.548
ghg_incLUC,1900,2268.432,1629.591,431.426,1608.168,444.607,375.037,628.513,1259.101
ghg_incLUC,1901,2295.516,1604.803,457.711,1685.085,466.820,373.187,661.003,1311.999
ghg_incLUC,1902,2343.904,1612.311,470.716,1700.263,472.569,373.723,671.164,1326.238
ghg_incLUC,1903,2466.892,1662.683,488.632,1745.764,480.368,373.068,701.478,1313.814
ghg_incLUC,1904,2473.775,1680.867,512.912,1788.744,485.851,373.834,710.976,1359.979
ghg_incLUC,1905,2580.626,1725.160,525.931,1836.931,491.633,373.443,719.839,1344.763
ghg_incLUC,1906,2625.396,1753.996,546.106,1880.340,503.893,374.400,735.670,1390.795
ghg_incLUC,1907,2816.605,1893.381,567.252,1941.670,531.045,375.758,752.515,1345.767
ghg_incLUC,1908,2653.575,1908.628,581.853,1981.565,540.518,378.030,761.924,1354.779
ghg_incLUC,1909,2786.055,1905.520,588.979,2030.502,554.975,376.366,777.820,1368.978
ghg_incLUC,1910,2859.787,1919.668,613.370,1732.328,570.391,377.831,829.711,1459.282
ghg_incLUC,1911,2830.268,1951.332,637.812,1655.187,598.827,380.905,853.165,1495.894
ghg_incLUC,1912,2861.349,1977.302,663.415,1649.695,595.633,385.047,866.553,1493.069
ghg_incLUC,1913,2969.668,2102.935,684.998,1587.491,603.315,390.341,889.764,1536.796
ghg_incLUC,1914,2834.671,1922.226,696.389,1489.787,632.650,390.550,900.844,1559.042
ghg_incLUC,1915,2859.532,1843.339,675.635,1422.532,643.021,393.485,912.652,1570.951
ghg_incLUC,1916,2998.632,1893.233,714.197,1453.243,650.747,395.529,930.303,1576.249
ghg_incLUC,1917,3159.037,1865.597,724.671,1367.618,667.907,400.530,939.018,1601.986
ghg_incLUC,1918,3252.946,1792.537,753.225,1195.837,679.090,404.259,955.979,1599.268
ghg_incLUC,1919,2927.414,1681.260,749.474,1054.730,684.182,409.341,983.457,1622.396
ghg_incLUC,1920,3222.851,1820.895,770.344,1273.579,678.557,475.910,1071.394,1767.464
ghg_incLUC,1921,2897.333,1679.631,763.756,1332.266,671.193,514.973,1124.228,1836.646
ghg_incLUC,1922,2896.046,1853.664,780.663,1351.583,665.645,538.088,1139.611,1871.077
ghg_incLUC,1923,3387.414,1798.280,805.970,1399.533,683.405,552.183,1156.694,1948.541
ghg_incLUC,1924,3149.903,2008.281,808.596,1352.633,684.267,566.635,1179.178,1975.573
ghg_incLUC,1925,3215.439,1991.790,811.407,1435.293,690.317,578.029,1178.847,2012.466
ghg_incLUC,1926,3353.948,1709.912,830.913,1489.150,684.793,585.488,1190.216,2036.836
ghg_incLUC,1927,3277.611,2079.765,843.744,1545.100,690.604,596.640,1190.468,2076.596
ghg_incLUC,1928,3228.583,2065.896,851.880,1573.893,692.861,600.923,1202.425,2144.115
ghg_incLUC,1929,3353.808,2199.424,859.428,1675.564,711.778,612.009,1224.319,2134.507
ghg_incLUC,1930,3038.677,2090.213,813.525,1863.536,754.976,621.579,1116.800,2202.138
ghg_incLUC,1931,2726.167,1948.742,772.313,1968.824,780.669,622.900,1060.709,2276.569
ghg_incLUC,1932,2417.529,1828.750,759.460,2022.489,800.131,626.222,1041.609,2353.290
ghg_incLUC,1933,2485.846,1868.158,767.252,2042.738,814.421,636.313,1033.898,2372.804
ghg_incLUC,1934,2573.006,1974.375,794.655,2124.713,842.131,645.964,1043.757,2438.464
ghg_incLUC,1935,2591.554,2032.139,796.433,2212.671,866.168,653.554,1035.228,2419.037
ghg_incLUC,1936,2823.172,2100.870,822.686,2341.576,878.820,660.826,1048.866,2517.178
ghg_incLUC,1937,2876.368,2256.161,836.973,2370.932,882.265,674.770,1058.483,2573.779
ghg_incLUC,1938,2551.376,2240.762,839.781,2437.055,884.370,687.985,1068.511,2603.629
ghg_incLUC,1939,2699.818,2288.965,852.159,2441.553,912.749,694.298,1078.984,2616.632
ghg_incLUC,1940,2971.995,2206.509,878.763,2349.596,977.885,706.513,1206.033,2880.128
ghg_incLUC,1941,3183.994,2185.158,895.541,2162.225,1031.013,713.381,1273.388,3063.234
ghg_incLUC,1942,3370.130,2184.286,917.131,1879.364,1063.753,721.478,1287.947,3154.531
ghg_incLUC,1943,3464.680,2176.798,922.172,1838.461,1067.018,721.589,1338.134,3247.494
ghg_incLUC,1944,3670.059,1997.697,916.280,1804.543,1074.595,733.396,1355.191,3352.541
ghg_incLUC,1945,3591.052,1450.771,849.324,1590.698,1037.653,744.640,1400.685,3435.309
ghg_incLUC,1946,3494.975,1787.394,843.146,1629.749,1025.673,749.585,1480.683,3536.331
ghg_incLUC,1947,3762.813,2006.457,872.761,1641.788,1042.466,753.660,1524.461,3625.607
ghg_incLUC,1948,3882.354,2134.331,916.195,1623.602,1039.581,758.909,1538.893,3673.746
ghg_incLUC,1949,3409.087,2252.433,920.909,1650.493,1082.754,768.802,1563.923,3720.019
ghg_incLUC,1950,3746.398,2304.566,1054.435,1946.839,1341.868,837.249,1668.902,4140.000
ghg_incLUC,1951,3789.547,2501.180,1113.075,2161.137,1599.300,870.604,1761.074,4342.913
ghg_incLUC,1952,3685.678,2540.201,1168.961,2304.194,1404.795,895.786,1836.294,4539.621
ghg_incLUC,1953,3740.367,2549.688,1216.137,2445.853,1353.653,912.314,1878.696,4695.825
ghg_incLUC,1954,3607.004,2649.609,1239.895,2627.474,1570.828,934.075,1950.591,4886.163
ghg_incLUC,1955,3860.721,2812.762,1278.286,2837.639,1559.502,955.255,2027.547,5165.674
ghg_incLUC,1956,4007.162,2930.375,1327.256,3010.235,1480.119,976.050,2096.641,5351.969
ghg_incLUC,1957,3968.122,2961.855,1394.824,3194.203,1504.377,1000.039,2166.900,5602.297
ghg_incLUC,1958,3864.402,2909.142,1393.636,3330.431,1581.868,1019.531,2245.897,5744.095
ghg_incLUC,1959,3916.211,2887.390,1448.967,3739.436,1706.825,1043.473,2320.641,6163.150
ghg_incLUC,1960,3999.151,3082.351,1443.968,3580.200,1736.192,916.659,2366.544,5695.368
ghg_incLUC,1961,3920.929,3182.874,1495.927,3666.116,1837.976,1027.631,2488.269,5336.643
ghg_incLUC,1962,4170.585,3333.952,1451.436,3502.508,1774.085,911.533,2558.611,5206.584
ghg_incLUC,1963,4253.487,3454.283,1525.217,3646.049,1876.863,899.994,2577.706,5164.948
ghg_incLUC,1964,4404.858,3548.018,1617.590,3716.089,1799.003,899.837,2654.495,5145.065
ghg_incLUC,1965,4541.088,3603.328,1709.225,3792.412,2061.178,901.795,2690.894,4881.899
ghg_incLUC,1966,4730.773,3697.704,1670.735,3855.696,1944.967,960.743,2702.682,4941.618
ghg_incLUC,1967,5248.613,3716.397,1927.232,3993.056,1638.414,974.096,2872.051,4935.160
ghg_incLUC,1968,5682.007,3908.122,1857.305,4169.284,1768.523,923.717,2904.975,4960.525
ghg_incLUC,1969,5632.307,4075.102,1961.381,4248.340,2397.133,951.629,2867.633,5711.505
ghg_incLUC,1970,5821.585,4169.486,2048.452,4505.809,2492.342,904.872,2964.913,5977.381
ghg_incLUC,1971,5809.696,4236.103,2138.536,4522.778,2289.570,947.719,3058.770,5921.904
ghg_incLUC,1972,6008.535,4305.319,2173.558,4668.395,2837.550,1036.977,3111.163,5960.690
ghg_incLUC,1973,6195.066,4490.828,2232.105,4863.893,2797.210,1033.436,3219.158,6122.948
ghg_incLUC,1974,6014.718,4399.270,2265.617,5003.795,2815.046,1028.272,3345.965,6130.736
ghg_incLUC,1975,5805.980,4246.052,2283.060,5171.394,2882.925,1035.697,3348.585,6215.711
ghg_incLUC,1976,6025.468,4468.604,2347.379,5383.415,2807.751,1022.088,3493.158,6395.552
ghg_incLUC,1977,6233.118,4400.236,2448.717,5516.882,3343.369,1154.972,3636.973,6392.616
ghg_incLUC,1978,6311.687,4488.184,2354.240,5691.334,3705.422,1107.327,3780.339,6362.794
ghg_incLUC,1979,6333.599,4641.426,2463.079,5678.968,3232.371,1084.193,3941.027,6425.125
ghg_incLUC,1980,6170.309,4509.037,2499.674,5943.386,3181.317,1116.052,4070.233,6346.073
ghg_incLUC,1981,5969.519,4317.724,2423.496,5680.498,3101.302,1180.150,4146.370,6133.065
ghg_incLUC,1982,5719.766,4179.640,2346.881,5802.278,3233.354,1157.605,4207.722,6021.719
ghg_incLUC,1983,5725.374,4132.896,2360.440,5865.056,3330.966,1299.550,4211.003,6283.498
ghg_incLUC,1984,5885.692,4120.058,2420.686,5938.917,3463.252,1259.243,4771.827,6575.984
ghg_incLUC,1985,5895.366,4200.050,2377.021,6233.175,3560.514,1287.643,5285.663,6725.573
ghg_incLUC,1986,5836.974,4190.731,2322.537,6261.036,3684.369,1362.668,5620.113,6812.871
ghg_incLUC,1987,6046.492,4201.949,2293.825,6256.546,3851.818,1354.345,5317.242,6966.417
ghg_incLUC,1988,6267.084,4183.098,2402.668,6278.252,4062.891,1474.339,5131.929,7048.243
ghg_incLUC,1989,6332.358,4267.477,2465.756,6117.454,4144.589,1514.593,5202.889,7064.630
ghg_incLUC,1990,6489.288,4426.790,2651.826,6144.216,4205.167,1526.914,5034.485,7086.347
ghg_incLUC,1991,6393.464,4474.792,2622.804,5786.700,4315.059,1561.427,5202.315,7524.239
ghg_incLUC,1992,6464.021,4345.787,2712.397,5067.190,4445.956,1632.941,5487.729,7291.430
ghg_incLUC,1993,6552.800,4253.021,2716.239,4756.866,4591.354,1638.294,5457.927,7451.442
ghg_incLUC,1994,6686.332,4212.528,2775.551,4290.818,4901.601,1675.792,6126.325,7987.555
ghg_incLUC,1995,6642.142,4273.153,2924.613,4137.145,5151.296,1712.603,6048.426,8034.935
ghg_incLUC,1996,6806.676,4346.898,2985.621,4458.411,5359.031,1817.629,6005.106,8209.028
ghg_incLUC,1997,6885.409,4251.678,2922.095,3912.004,5318.064,1831.317,7978.130,8411.878
ghg_incLUC,1998,6926.782,4273.533,2944.416,3834.536,5195.279,1855.813,6381.762,8711.931
ghg_incLUC,1999,7014.896,4231.255,3001.694,3795.245,5342.072,1939.573,6490.925,8628.521
ghg_incLUC,2000,7217.240,4227.319,3146.008,3673.711,5282.098,2005.885,6424.782,8802.770
ghg_incLUC,2001,6976.344,4261.327,3094.100,3707.226,5282.242,2000.273,6311.363,8610.838
ghg_incLUC,2002,7059.111,4243.853,3061.777,3631.357,5600.191,1994.045,6911.449,8904.830
ghg_incLUC,2003,7245.448,4311.269,3110.521,3806.394,6373.199,2059.556,7612.412,9670.468
ghg_incLUC,2004,7314.667,4304.678,3122.359,3791.185,6840.591,2129.202,7360.777,9539.874
ghg_incLUC,2005,7428.800,4294.527,2992.606,3868.344,7551.543,2205.413,7049.065,9598.687
ghg_incLUC,2006,7064.877,4253.226,2973.896,3990.004,8215.579,2324.594,7553.294,9823.828
ghg_incLUC,2007,7181.516,4216.969,3037.096,4133.570,8701.730,2485.674,6897.006,10061.684
ghg_incLUC,2008,7074.333,4099.765,3049.697,4073.587,9244.500,2641.331,6940.064,10522.993
ghg_incLUC,2009,6577.918,3801.844,2790.614,4050.144,9644.707,2738.050,7254.748,10803.450
ghg_incLUC,2010,6823.523,3885.874,3036.922,4318.993,10308.954,2848.131,7071.752,11288.217
ghg_incLUC,2011,6523.640,3740.532,3111.891,4189.163,11352.635,2950.343,7272.365,11772.843
ghg_incLUC,2012,6388.708,3696.444,3088.876,4458.676,11526.329,3164.010,7515.613,11927.038
ghg_incLUC,2013,6488.665,3635.692,3000.912,4258.831,11692.455,3124.772,7580.019,11886.192
ghg_incLUC,2014,6610.767,3465.294,2942.029,4105.912,11689.330,3216.867,7867.022,12166.317
ghg_incLUC,2015,6408.286,3507.543,2866.682,4372.775,11642.968,3290.423,8308.625,11697.681
ghg_incLUC,2016,6308.617,3477.029,2851.660,4414.102,11382.781,3365.011,7323.635,11865.579
ghg_incLUC,2017,6319.225,3469.070,2914.453,4465.943,11622.925,3415.989,7194.683,12277.557
ghg_incLUC,2018,6466.737,3420.880,2829.165,4435.354,11989.896,3616.201,7322.723,12035.899
ghg_incLUC,2019,6360.787,3285.124,2740.781,4354.799,12322.384,3613.001,7798.218,12075.760
ghg_incLUC,2020,5758.456,2979.791,2605.858,4172.592,12524.051,3436.429,7277.936,11826.823
ghg_incLUC,2021,6131.129,3152.290,2642.294,4384.979,12958.471,3697.615,7621.783,12031.844
ghg_incLUC,2022,6201.504,3049.506,2586.408,4355.782,13446.920,3869.995,7730.420,12255.179
ghg_incLUC,2023,6078.455,2854.459,2550.596,4391.467,13934.404,4121.424,7796.046,12345.854
ghg_incLUC,2024,6054.308,2813.597,2501.740,4441.152,14107.007,4262.411,7754.799,12478.628
