measure,year,annex2_OWID,annex1_OWID,non_annex1_OWID,annex2_PRIMAP,annex1_PRIMAP,non_annex1_PRIMAP,annex2_GCP_fossil,annex1_GCP_fossil,non_annex1_GCP_fossil,annex2_GCP_BLUE,annex1_GCP_BLUE,non_annex1_GCP_BLUE,annex2_GCP_OSCAR,annex1_GCP_OSCAR,non_annex1_GCP_OSCAR,annex2_EDGAR,annex1_EDGAR,non_annex1_EDGAR,annex2_ClimateWatch,annex1_ClimateWatch,non_annex1_ClimateWatch,annex2_GMST,annex1_GMST
ghg_incLUC,1885,3151.668,4362.042,2286.303,3088.788,3802.522,1959.659,,,,,,,,,,,,,,,,33.654,45.406
ghg_incLUC,1886,3168.941,4368.158,2305.380,3102.534,3822.927,1979.952,,,,,,,,,,,,,,,,33.625,45.363
ghg_incLUC,1887,3258.677,4450.287,2353.305,3148.506,3876.631,1997.865,,,,,,,,,,,,,,,,33.596,45.321
ghg_incLUC,1888,3369.697,4583.913,2355.055,3265.491,4005.823,2012.204,,,,,,,,,,,,,,,,33.565,45.277
ghg_incLUC,1889,3342.488,4579.641,2408.792,3249.717,4001.769,2027.317,,,,,,,,,,,,,,,,33.532,45.231
ghg_incLUC,1890,3545.456,4901.256,2509.694,3359.505,4125.081,2044.554,,,,,,,,,,,,,,,,33.501,45.186
ghg_incLUC,1891,3640.021,5026.579,2558.689,3411.937,4191.452,2050.028,,,,,,,,,,,,,,,,33.466,45.137
ghg_incLUC,1892,3646.808,5050.644,2537.399,3474.195,4258.087,2061.204,,,,,,,,,,,,,,,,33.431,45.085
ghg_incLUC,1893,3653.160,5065.511,2553.304,3448.467,4246.730,2072.264,,,,,,,,,,,,,,,,33.397,45.034
ghg_incLUC,1894,3718.372,5186.407,2589.406,3514.809,4319.593,2137.722,,,,,,,,,,,,,,,,33.363,44.983
ghg_incLUC,1895,3801.454,5263.046,2609.387,3608.399,4430.276,2158.329,,,,,,,,,,,,,,,,33.328,44.930
ghg_incLUC,1896,3865.415,5336.766,2620.540,3660.132,4492.657,2174.999,,,,,,,,,,,,,,,,33.291,44.876
ghg_incLUC,1897,3952.967,5459.826,2665.392,3740.026,4590.208,2193.657,,,,,,,,,,,,,,,,33.253,44.820
ghg_incLUC,1898,4053.637,5595.691,2659.819,3824.437,4694.529,2214.139,,,,,,,,,,,,,,,,33.214,44.762
ghg_incLUC,1899,4237.487,5794.281,2689.063,3995.291,4883.240,2231.507,,,,,,,,,,,,,,,,33.172,44.702
ghg_incLUC,1900,4329.449,5937.617,2707.258,4105.415,5010.715,2245.497,,,,,,,,,,,,,,,,33.127,44.637
ghg_incLUC,1901,4358.030,6043.115,2813.008,4162.352,5089.853,2497.807,,,,,,,,,,,,,,,,33.080,44.571
ghg_incLUC,1902,4426.931,6127.194,2843.695,4105.310,5035.357,2639.812,,,,,,,,,,,,,,,,33.035,44.503
ghg_incLUC,1903,4618.206,6363.970,2868.727,4295.352,5235.548,2779.070,,,,,,,,,,,,,,,,32.988,44.435
ghg_incLUC,1904,4667.554,6456.298,2930.640,4281.822,5241.065,2913.041,,,,,,,,,,,,,,,,32.937,44.361
ghg_incLUC,1905,4831.717,6668.648,2929.677,4426.224,5389.605,3039.693,,,,,,,,,,,,,,,,32.886,44.287
ghg_incLUC,1906,4925.498,6805.838,3004.758,4508.286,5499.794,3204.563,,,,,,,,,,,,,,,,32.831,44.207
ghg_incLUC,1907,5277.238,7218.908,3005.084,4849.120,5873.002,3269.093,,,,,,,,,,,,,,,,32.773,44.125
ghg_incLUC,1908,5144.056,7125.621,3035.250,4696.480,5735.924,3335.516,,,,,,,,,,,,,,,,32.707,44.033
ghg_incLUC,1909,5280.554,7311.056,3078.139,4803.197,5859.580,3377.464,,,,,,,,,,,,,,,,32.647,43.945
ghg_incLUC,1910,5392.825,7125.153,3237.215,4957.430,6015.697,3419.011,,,,,,,,,,,,,,,,32.583,43.853
ghg_incLUC,1911,5419.412,7074.599,3328.791,4983.632,6054.156,3244.402,,,,,,,,,,,,,,,,32.514,43.765
ghg_incLUC,1912,5502.066,7151.762,3340.302,5054.449,6156.839,3192.216,,,,,,,,,,,,,,,,32.446,43.679
ghg_incLUC,1913,5757.600,7345.092,3420.215,5310.937,6452.986,3104.933,,,,,,,,,,,,,,,,32.374,43.591
ghg_incLUC,1914,5453.286,6943.073,3483.086,4970.436,6074.691,3080.014,,,,,,,,,,,,,,,,32.294,43.498
ghg_incLUC,1915,5378.506,6801.038,3520.109,4919.386,6014.124,3058.820,,,,,,,,,,,,,,,,32.224,43.417
ghg_incLUC,1916,5606.062,7059.305,3552.828,5154.401,6276.575,3098.030,,,,,,,,,,,,,,,,32.154,43.339
ghg_incLUC,1917,5749.306,7116.924,3609.440,5287.666,6410.596,3141.257,,,,,,,,,,,,,,,,32.079,43.257
ghg_incLUC,1918,5798.709,6994.546,3638.597,5309.577,6334.594,3176.529,,,,,,,,,,,,,,,,32.000,43.173
ghg_incLUC,1919,5358.148,6412.878,3699.377,4877.551,5784.837,3235.069,,,,,,,,,,,,,,,,31.917,43.095
ghg_incLUC,1920,5814.090,7087.668,3993.325,5313.138,6303.149,3303.928,,,,,,,,,,,,,,,,31.847,43.032
ghg_incLUC,1921,5340.720,6672.986,4147.040,4765.986,5766.079,3528.718,,,,,,,,,,,,,,,,31.769,42.959
ghg_incLUC,1922,5530.373,6881.956,4214.421,4866.368,5878.260,3612.304,,,,,,,,,,,,,,,,31.707,42.900
ghg_incLUC,1923,5991.664,7391.196,4340.823,5349.270,6360.643,3697.458,,,,,,,,,,,,,,,,31.641,42.837
ghg_incLUC,1924,5966.780,7319.413,4405.653,5317.314,6356.730,3779.569,,,,,,,,,,,,,,,,31.565,42.765
ghg_incLUC,1925,6018.636,7453.929,4459.658,5347.205,6394.071,3836.393,,,,,,,,,,,,,,,,31.489,42.695
ghg_incLUC,1926,5894.773,7383.923,4497.333,5223.150,6334.176,3874.108,,,,,,,,,,,,,,,,31.414,42.625
ghg_incLUC,1927,6201.120,7746.219,4554.307,5719.087,6889.663,3915.463,,,,,,,,,,,,,,,,31.345,42.558
ghg_incLUC,1928,6146.359,7720.253,4640.324,5656.507,6855.015,3971.680,,,,,,,,,,,,,,,,31.271,42.485
ghg_incLUC,1929,6412.660,8088.224,4682.614,6042.528,7280.575,4028.142,,,,,,,,,,,,,,,,31.197,42.414
ghg_incLUC,1930,5942.415,7805.951,4695.493,5917.590,7188.920,4072.144,,,,,,,,,,,,,,,,31.118,42.335
ghg_incLUC,1931,5447.222,7416.046,4740.846,5404.728,6715.733,4128.745,,,,,,,,,,,,,,,,31.056,42.264
ghg_incLUC,1932,5005.739,7028.228,4821.252,4620.198,5939.151,4176.793,,,,,,,,,,,,,,,,31.011,42.203
ghg_incLUC,1933,5121.256,7163.995,4857.436,4738.456,6084.832,4240.362,,,,,,,,,,,,,,,,30.981,42.155
ghg_incLUC,1934,5342.036,7466.749,4970.315,4943.654,6351.817,4308.180,,,,,,,,,,,,,,,,30.951,42.105
ghg_incLUC,1935,5420.126,7632.797,4973.987,5057.762,6505.672,4396.765,,,,,,,,,,,,,,,,30.914,42.045
ghg_incLUC,1936,5746.728,8088.304,5105.690,5367.426,6872.423,4530.965,,,,,,,,,,,,,,,,30.875,41.981
ghg_incLUC,1937,5969.501,8340.433,5189.296,5546.139,7066.615,4631.957,,,,,,,,,,,,,,,,30.832,41.908
ghg_incLUC,1938,5631.919,8068.974,5244.495,5191.951,6741.762,4696.697,,,,,,,,,,,,,,,,30.786,41.830
ghg_incLUC,1939,5840.942,8282.494,5302.664,5427.959,6972.058,4785.302,,,,,,,,,,,,,,,,30.752,41.759
ghg_incLUC,1940,6057.268,8406.864,5770.559,5542.533,7299.487,4852.219,,,,,,,,,,,,,,,,30.709,41.677
ghg_incLUC,1941,6264.692,8426.917,6081.016,5727.651,7360.627,4909.682,,,,,,,,,,,,,,,,30.669,41.601
ghg_incLUC,1942,6471.548,8350.912,6227.709,5976.691,7474.736,4956.140,,,,,,,,,,,,,,,,30.616,41.523
ghg_incLUC,1943,6563.650,8402.111,6374.235,6015.075,7601.091,5097.483,,,,,,,,,,,,,,,,30.556,41.449
ghg_incLUC,1944,6584.036,8388.579,6515.723,5987.237,7511.655,5252.990,,,,,,,,,,,,,,,,30.499,41.379
ghg_incLUC,1945,5891.147,7481.846,6618.287,5232.808,6547.575,5362.652,,,,,,,,,,,,,,,,30.442,41.311
ghg_incLUC,1946,6125.514,7755.263,6792.272,5513.809,6936.486,5881.740,,,,,,,,,,,,,,,,30.403,41.268
ghg_incLUC,1947,6642.031,8283.819,6946.194,6127.929,7637.922,6044.902,,,,,,,,,,,,,,,,30.358,41.222
ghg_incLUC,1948,6932.881,8556.483,7011.129,6408.135,7964.370,6149.431,,,,,,,,,,,,,,,,30.299,41.164
ghg_incLUC,1949,6582.429,8232.922,7135.498,6058.836,7719.438,6308.846,,,,,,,,,,,,,,,,30.229,41.096
ghg_incLUC,1950,7105.400,9052.238,7988.019,6587.418,8330.821,6289.164,,,,,,,,,,,,,,,,30.173,41.040
ghg_incLUC,1951,7403.802,9564.940,8573.891,7113.192,9317.392,6715.708,,,,,,,,,,,,,,,,30.107,40.973
ghg_incLUC,1952,7394.840,9699.034,8676.496,6953.845,9324.043,6990.249,,,,,,,,,,,,,,,,30.034,40.897
ghg_incLUC,1953,7506.193,9952.046,8840.488,7022.359,9553.826,7053.720,,,,,,,,,,,,,,,,29.958,40.814
ghg_incLUC,1954,7496.509,10123.982,9341.657,7047.928,9767.583,7328.425,,,,,,,,,,,,,,,,29.881,40.727
ghg_incLUC,1955,7951.769,10789.408,9707.978,7502.765,10457.197,7678.192,,,,,,,,,,,,,,,,29.813,40.645
ghg_incLUC,1956,8264.793,11275.028,9904.780,7890.941,11071.411,7941.290,,,,,,,,,,,,,,,,29.737,40.552
ghg_incLUC,1957,8324.800,11519.003,10273.614,7948.815,11370.934,8178.206,,,,,,,,,,,,,,,,29.656,40.450
ghg_incLUC,1958,8167.180,11497.611,10591.391,7957.952,11574.750,8556.499,,,,,,,,,,,,,,,,29.581,40.348
ghg_incLUC,1959,8252.569,11992.005,11234.089,7979.769,11464.530,8906.066,,,,,,,,,,,,,,,,29.511,40.247
ghg_incLUC,1960,8525.470,12105.671,10714.764,8322.824,11919.210,9095.023,,,,,,,,,,,,,,,,29.455,40.149
ghg_incLUC,1961,8599.730,12265.846,10690.520,8455.058,12119.944,9305.275,,,,,,,,,,,,,,,,29.380,40.040
ghg_incLUC,1962,8955.973,12458.481,10450.813,8836.850,12631.050,9286.868,,,,,,,,,,,,,,,,29.303,39.922
ghg_incLUC,1963,9232.987,12879.036,10519.512,9270.531,13233.602,9522.163,,,,,,,,,,,,,,,,29.211,39.789
ghg_incLUC,1964,9570.467,13286.556,10498.400,9643.019,13756.813,9738.818,,,,,,,,,,,,,,,,29.110,39.642
ghg_incLUC,1965,9853.641,13646.052,10535.766,9967.133,14208.742,10076.524,,,,,,,,,,,,,,,,28.996,39.481
ghg_incLUC,1966,10099.212,13954.908,10550.011,10423.724,14784.148,10446.643,,,,,,,,,,,,,,,,28.868,39.300
ghg_incLUC,1967,10892.242,14885.298,10419.720,10785.081,15238.200,10465.719,,,,,,,,,,,,,,,,28.734,39.112
ghg_incLUC,1968,11447.434,15616.718,10557.741,11277.314,15802.995,10539.215,,,,,,,,,,,,,,,,28.579,38.899
ghg_incLUC,1969,11668.790,15917.130,11927.900,11904.408,16540.193,10935.757,,,,,,,,,,,,,,,,28.406,38.667
ghg_incLUC,1970,12039.523,16545.332,12339.508,12435.165,17129.993,11468.986,,,,,,,,,,,,,,,,28.235,38.444
ghg_incLUC,1971,12184.334,16707.112,12217.963,12326.415,17115.122,11477.143,,,,,,,,,,,,,,,,28.070,38.220
ghg_incLUC,1972,12487.412,17155.807,12946.379,12768.758,17704.847,11659.408,,,,,,,,,,,,,,,,27.899,37.985
ghg_incLUC,1973,12918.000,17781.893,13172.752,13227.264,18296.351,12115.494,,,,,,,,,,,,,,,,27.723,37.744
ghg_incLUC,1974,12679.605,17683.400,13320.019,12938.991,18098.866,12271.073,,,,,,,,,,,,,,,,27.540,37.488
ghg_incLUC,1975,12335.092,17506.486,13482.918,12536.319,17877.756,12602.622,,,,,,,,,,,,,,,,27.363,37.228
ghg_incLUC,1976,12841.451,18224.866,13718.549,13149.371,18671.108,13100.183,,,,,,,,,,,,,,,,27.201,36.970
ghg_incLUC,1977,13082.070,18598.952,14527.929,13227.078,18870.391,13486.758,,,,,,,,,,,,,,,,27.028,36.693
ghg_incLUC,1978,13154.111,18845.444,14955.882,13486.940,19276.017,13860.381,,,,,,,,,,,,,,,,26.859,36.415
ghg_incLUC,1979,13438.104,19117.071,14682.716,13795.673,19613.164,14149.729,,,,,,,,,,,,,,,,26.692,36.128
ghg_incLUC,1980,13179.019,19122.405,14713.675,13409.077,19350.901,14089.219,,,,,,,,,,,,,,,,26.498,35.809
ghg_incLUC,1981,12710.738,18391.236,14560.887,13018.560,18823.841,14120.948,,,,,,,,,,,,,,,,26.309,35.475
ghg_incLUC,1982,12246.287,18048.565,14620.400,12535.826,18425.731,15106.401,,,,,,,,,,,,,,,,26.126,35.150
ghg_incLUC,1983,12218.709,18083.766,15125.017,12464.137,18413.732,15560.826,,,,,,,,,,,,,,,,25.965,34.834
ghg_incLUC,1984,12426.436,18365.353,16070.306,12718.942,18735.655,16137.922,,,,,,,,,,,,,,,,25.822,34.529
ghg_incLUC,1985,12472.437,18705.612,16859.393,12763.719,19030.951,16633.282,,,,,,,,,,,,,,,,25.686,34.225
ghg_incLUC,1986,12350.242,18611.278,17480.020,12720.044,19058.894,17041.917,,,,,,,,,,,,,,,,25.558,33.909
ghg_incLUC,1987,12542.266,18798.812,17489.823,12955.128,19330.481,17495.942,,,,,,,,,,,,,,,,25.441,33.595
ghg_incLUC,1988,12852.850,19131.102,17717.401,13317.812,19696.288,18079.927,,,,,,,,,,,,,,,,25.327,33.276
ghg_incLUC,1989,13065.592,19183.046,17926.701,13533.435,19784.856,18507.540,,,,,,,,,,,,,,,,25.211,32.947
ghg_incLUC,1990,13567.904,19712.120,17852.914,12359.764,17237.502,15440.382,,,,,,,,,,12677.704,17381.157,15878.309,,,,25.091,32.614
ghg_incLUC,1991,13491.061,19277.761,18603.040,12198.771,16499.663,16181.271,,,,,,,,,,12564.093,17090.047,16159.589,,,,24.930,32.230
ghg_incLUC,1992,13522.205,18589.396,18858.056,12202.289,15824.740,16275.292,,,,,,,,,,12571.454,16623.476,16718.546,,,,24.768,31.875
ghg_incLUC,1993,13522.060,18278.926,19139.017,12223.611,15433.860,16683.197,,,,,,,,,,13038.341,16492.651,17492.782,,,,24.589,31.555
ghg_incLUC,1994,13674.412,17965.230,20691.273,12394.957,14986.862,14755.968,,,,,,,,,,13069.006,16351.016,17613.059,,,,24.392,31.244
ghg_incLUC,1995,13839.908,17977.053,20947.260,12565.604,14976.334,16035.243,,,,,,,,,,13287.949,16518.199,18504.829,,,,24.197,30.988
ghg_incLUC,1996,14139.195,18597.606,21390.793,12825.447,15432.814,15886.051,,,,,,,,,,13179.138,16113.560,18908.149,,,,23.989,30.740
ghg_incLUC,1997,14059.181,17971.185,23539.389,12841.267,15041.124,15774.951,,,,,,,,,,13241.811,15891.883,18297.174,,,,23.769,30.471
ghg_incLUC,1998,14144.731,17979.267,22144.786,12865.704,15244.956,16165.741,,,,,,,,,,13862.612,15990.967,19706.054,,,,23.557,30.267
ghg_incLUC,1999,14247.845,18043.091,22401.091,12956.491,14902.096,16551.744,,,,,,,,,,13778.123,16395.072,19888.217,,,,23.291,30.020
ghg_incLUC,2000,14590.567,18264.278,22515.535,13262.195,15297.981,16364.483,,,,,,,,,,14301.141,17278.166,21094.417,,,,23.012,29.770
ghg_incLUC,2001,14331.770,18038.996,22204.716,13092.569,15079.125,16773.487,,,,,,,,,,14158.627,16597.361,21366.234,,,,22.711,29.517
ghg_incLUC,2002,14364.741,17996.098,23410.516,13251.283,15254.338,17851.576,,,,,,,,,,14403.730,16613.228,22154.202,,,,22.412,29.258
ghg_incLUC,2003,14667.239,18473.633,25715.634,13364.656,15583.972,20248.031,,,,,,,,,,13603.048,16127.448,22456.334,,,,22.116,29.028
ghg_incLUC,2004,14741.705,18532.890,25870.444,13493.122,15335.023,22014.906,,,,,,,,,,14082.291,16461.981,25065.057,,,,21.834,28.821
ghg_incLUC,2005,14715.934,18584.278,26404.708,13476.358,15415.919,22204.801,,,,,,,,,,13649.374,16005.239,25890.391,,,,21.522,28.601
ghg_incLUC,2006,14292.000,18282.004,27917.295,13339.402,15367.998,22797.880,,,,,,,,,,13963.648,16423.181,26669.583,,,,21.224,28.396
ghg_incLUC,2007,14435.580,18569.150,28146.095,13476.138,15499.503,22937.248,,,,,,,,,,14056.117,16562.108,26930.560,,,,20.955,28.226
ghg_incLUC,2008,14223.795,18297.382,29348.888,13027.143,15141.920,23721.711,,,,,,,,,,12880.913,15433.549,27266.767,,,,20.636,28.003
ghg_incLUC,2009,13170.375,17220.520,30440.956,12185.001,13962.259,23758.166,,,,,,,,,,11873.431,13962.427,28117.925,,,,20.332,27.818
ghg_incLUC,2010,13746.319,18065.312,31517.054,12524.359,14443.476,24617.620,,,,,,,,,,12333.046,14577.466,29973.202,,,,20.130,27.744
ghg_incLUC,2011,13376.062,17565.225,33348.186,12180.875,14580.798,26777.878,,,,,,,,,,13372.288,15870.251,31629.796,,,,19.898,27.630
ghg_incLUC,2012,13174.028,17632.703,34132.990,11929.063,14736.448,27569.804,,,,,,,,,,13017.941,15508.589,33111.221,,,,19.727,27.604
ghg_incLUC,2013,13125.269,17384.100,34283.439,12110.896,14331.868,27878.397,,,,,,,,,,12199.745,14593.489,34489.622,,,,19.598,27.570
ghg_incLUC,2014,13018.089,17124.001,34939.535,11887.377,14240.411,28455.205,,,,,,,,,,12234.455,14645.405,35522.510,,,,19.466,27.547
ghg_incLUC,2015,12782.510,17155.285,34939.697,11805.423,14175.658,29732.958,,,,,,,,,,12127.333,14397.364,35964.751,,,,19.325,27.536
ghg_incLUC,2016,12637.306,17051.408,33937.006,11467.755,14015.956,29439.946,,,,,,,,,,11546.769,13895.201,35829.448,,,,19.193,27.478
ghg_incLUC,2017,12702.748,17168.691,34511.153,11487.383,13986.623,29973.045,,,,,,,,,,12059.088,14427.977,35335.378,,,,19.022,27.325
ghg_incLUC,2018,12716.783,17152.136,34964.719,11611.688,14319.224,30178.388,,,,,,,,,,12140.973,14833.147,35658.053,,,,18.806,27.112
ghg_incLUC,2019,12386.692,16741.491,35809.363,11306.420,14085.705,31086.961,,,,,,,,,,11694.588,14371.582,36926.556,,,,18.515,26.802
ghg_incLUC,2020,11344.105,15516.697,35065.239,10245.015,12704.348,30136.681,,,,,,,,,,10295.429,12736.991,35969.454,,,,18.265,26.540
ghg_incLUC,2021,11925.713,16310.692,36309.713,10688.113,13663.715,32096.237,,,,,,,,,,10907.333,13681.553,36918.720,,,,18.260,26.505
ghg_incLUC,2022,11837.419,16193.200,37302.514,10714.417,13085.792,33963.822,,,,,,,,,,10878.265,13331.507,37745.442,,,,18.069,26.234
ghg_incLUC,2023,11483.510,15874.977,38197.728,10210.924,12545.828,34525.696,,,,,,,,,,11890.499,14360.017,39108.700,,,,17.913,26.094
ghg_incLUC,2024,11369.645,15810.797,38602.845,8641.151,11449.105,24074.701,,,,,,,,,,10627.385,13166.136,39545.381,,,,17.709,25.975
